Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
35;;;;50;;50;;85,71428571;;;;;;;;100;;75;95,71071429;51,5;98,2;0,558;0,636;0,0364;0,5088;;;;
36;18,30727273;7,62;17,18333333;63,88833333;;;;73,81;100;100;;;;;;89,81333333;;64,5825;96,23357143;50,5;97,2;0,597;0,647;0,0361;0,4772;;;;
37;;;;74;;100;;88,33333333;;;;;;;;91,66666667;;61,11;99,62857143;50,1;96,7;0,619;0,093;"3,39  
";0,4735;;;;
38;36,53333333;7,609090909;22,34533333;21,063;25;18,335;;69,86933333;25,775;100;;;;100;;74,64090909;100;46,905;98,68571429;48,9;98,1;0,602;0,167;0,0372;0,4895;;;;
39;25,246;23,43;22,07666667;100;;;;100;;100;;;;;100;100;;100;99,51857143;46,8;99,7;0,611;0,261;0,0333;0,4622;;;;
40;42,75533333;3,094615385;23,21933333;25,44333333;6,795;5,055;;60,016;13,88785714;66,665;;;;97,43615385;;65,78933333;25,54875;51,83133333;99,36714286;39,2;97,3;0,748;0,511;0,0336;0,7047;;;;
41;;;;75;;;;100;50;;;;;;;100;;100;98,76428571;50,6;95,8;0,587;0,237;"3,66  
";0,5077;;;;
42;;;;86,666;;;;50;66,67;;;;;;;50;;83,33;99,27714286;50,9;93,4;0,596;0,417;"3,44  
";0,4954;;;;
43;54,16666667;33,33;;;83,97384615;;;;;;;;;100;;87,03666667;100;84,25777778;93,38;52,2;97,2;0,564;0,131;0,0362;0,5284;;;;
44;23,85357143;14,38;18,30285714;100;;;;94,44444444;75;100;;;;;;87,5;;72,22;93,28285714;52,7;96,4;0,523;0,305;"3,76  
";0,5374;;;;
45;24,73727273;13,85;17,785;87,5;;;;92,85714286;;;;;;;;89,5825;;44,44333333;98,69785714;50,1;97,7;0,592;0,519;0,0343;0,5167;;;;
46;37,51;2,248;25,36733333;34,96692308;5,38;22,22;;53,39714286;19,775;100;50;;;83,33333333;;83,89866667;25;36,45846154;89,34857143;43,1;97,2;0,679;0,548;0,0337;0,5637;;;;
47;100,00;;;;100,00;;;;;;;;;;;100,00;;100,00;99,64;54;96,8;0,55;29,40%;3,67%;0,5033;;;;
